species,ab,ap,am,d_V,Wwb,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,h_a,E_Hb,E_Hp
Pachyptila_belcheri,6.226422e+00,2.853613e+01,1.357174e+03,2.800000e-01,2.500000e+01,2.500000e+02,1.842063e-02,3.125500e+02,False,False,1.854440e+03,7.806700e-01,3.520500e-02,4.910306e+02,3.944000e-13,1.335000e+04,1.710000e+05
Eunymphicus_cornutus,3.475006e+00,1.026339e+01,1.162188e+03,2.800000e-01,5.000000e+00,1.200000e+02,5.085238e-02,3.116500e+02,False,False,1.008119e+04,9.935100e-01,1.470300e-02,9.837702e+03,2.519000e-13,6.719000e+01,4.150000e+03
Platalea_alba,4.590272e+00,9.991541e+00,1.008263e+03,2.800000e-01,3.950000e+01,1.790000e+03,5.325993e-02,3.121500e+02,False,False,2.679361e+04,9.983300e-01,9.092600e-02,7.936642e+03,2.808000e-15,1.122000e+02,3.987000e+04
Calyptorhynchus_lathami,8.289499e+00,2.566675e+01,2.656885e+03,2.800000e-01,2.200000e+01,5.200000e+02,1.418955e-02,3.119500e+02,False,False,3.872241e+03,9.957100e-01,3.087200e-02,1.326645e+03,8.448000e-16,2.127000e+02,1.686000e+04
Phyllostomus_hastatus,1.296101e+02,3.262756e+02,1.769990e+03,3.000000e-01,1.590000e+01,8.100000e+01,1.016955e-02,3.079500e+02,False,True,3.750925e+03,9.679000e-01,4.471500e-02,1.903487e+03,1.017000e-11,2.080000e+03,1.459000e+05
Podarcis_muralis_Castanet,4.998350e+01,1.109719e+03,5.860656e+03,3.000000e-01,3.600000e-01,5.078000e+00,1.706294e-02,2.981500e+02,False,False,2.501576e+02,2.756000e-01,2.701400e-02,5.265270e+01,1.765000e-08,3.480000e+03,2.903000e+04
Aquila_rapax,8.028326e+00,2.047370e+01,2.377470e+03,2.800000e-01,1.000000e+02,1.970000e+03,1.698223e-02,3.116700e+02,False,False,1.672978e+04,9.972000e-01,8.060200e-02,4.279871e+03,5.645000e-19,6.592000e+02,1.506000e+05
Phoebetria_palpebrata,2.946306e+01,4.535823e+01,1.971463e+03,2.800000e-01,2.300000e+02,3.000000e+03,1.775331e-02,3.121500e+02,False,False,1.479828e+04,9.947900e-01,1.142500e-01,2.723623e+03,4.858000e-15,3.249000e+03,6.657000e+05
Melanerpes_formicivorus,3.096883e+00,7.478212e+00,9.823565e+02,2.800000e-01,4.700000e+00,7.900000e+01,1.715874e-01,3.120000e+02,False,False,1.287681e+04,9.905300e-01,6.422000e-02,9.493760e+03,1.303000e-18,1.110000e+02,1.921000e+04
Channa_punctata,5.291711e-01,1.931475e+02,5.820882e+02,2.000000e-01,5.000000e-04,3.000000e+02,8.219178e+01,3.001500e+02,False,False,9.746243e+01,9.969600e-01,4.454000e-02,1.648840e+01,6.290500e-08,2.370400e-04,3.459327e+02
Capra_hircus,2.872415e+01,1.039629e+02,1.406928e+03,3.000000e-01,2.250000e+03,6.100000e+04,2.217598e-02,3.124500e+02,False,True,4.418259e+03,9.428000e-01,2.693800e-02,3.055031e+02,1.048000e-12,1.364000e+05,2.328000e+06
Macaca_fuscata,3.710068e+01,3.532474e+02,2.995719e+03,3.000000e-01,4.960000e+02,8.883000e+03,9.638755e-03,3.107500e+02,False,True,3.182160e+02,8.291600e-01,1.771500e-02,1.990990e+01,2.014000e-12,2.314000e+05,3.696000e+06
Turdus_rubrocanus,2.245595e+00,6.258934e+00,7.768243e+02,2.800000e-01,3.900000e+00,9.217500e+01,6.533009e-02,3.147500e+02,False,False,1.995468e+03,9.920700e-01,4.627200e-02,8.638697e+02,1.072000e-12,5.683000e+01,1.396000e+03
Hirundo_atrocaerulea,3.062175e+00,1.108885e+01,7.102394e+02,2.800000e-01,1.400000e+00,1.390000e+01,1.171436e-01,3.147500e+02,False,False,7.525605e+02,8.834000e-01,2.874800e-02,4.710635e+02,1.401000e-12,4.287000e+02,7.896000e+03
Potos_flavus,9.131020e+01,2.893680e+02,3.385339e+03,3.000000e-01,1.500000e+02,3.000000e+03,1.134303e-02,3.092500e+02,False,True,4.291027e+03,8.727000e-01,2.510500e-02,7.532190e+02,1.669000e-22,3.542000e+04,6.329000e+06
Aotus_trivirgatus,1.611054e+02,3.304290e+02,2.265863e+03,3.000000e-01,8.850000e+01,8.000000e+02,1.802492e-02,3.111500e+02,False,True,5.304884e+02,5.957700e-01,3.641700e-01,3.366450e+01,1.083000e-18,3.910000e+05,8.920000e+06
Gila_intermedia,4.987017e+00,7.165607e+02,1.159137e+03,2.000000e-01,1.200000e-03,7.160000e+02,7.657675e+00,2.861500e+02,True,False,5.205566e+02,9.848000e-01,2.070800e-02,1.088070e+02,1.524000e-07,1.565000e-02,1.554000e+02
Martes_zibellina,2.700199e+01,1.172473e+02,1.329139e+03,3.000000e-01,3.000000e+01,1.580000e+03,4.153065e-02,3.116500e+02,False,True,1.567747e+03,9.224700e-01,1.568600e-01,1.624980e+02,1.226000e-32,9.050000e+03,4.617000e+06
Thamnophis_sirtalis,6.327677e+01,5.251972e+02,3.233443e+03,3.000000e-01,5.300000e+00,2.318000e+03,1.039140e-01,2.991500e+02,False,False,7.166884e+02,9.421100e-01,2.048100e-02,9.330210e+01,2.862000e-09,5.889000e+02,1.715000e+05
Forbesichthys_agassizii,5.946027e+01,5.351424e+02,7.115737e+03,2.000000e-01,2.800000e-03,3.700000e+00,2.136110e-01,2.861500e+02,False,False,2.123106e+02,9.488200e-01,2.431100e-02,1.855435e+02,2.902000e-08,3.129000e-01,1.256000e+02
Platalea_regia,4.325449e+00,1.165574e+01,2.039056e+03,2.800000e-01,6.900000e+01,1.575000e+03,5.503527e-02,3.121500e+02,False,False,3.471970e+04,9.978400e-01,1.873900e-01,8.960223e+03,1.159000e-27,3.049000e+02,1.849000e+05
Melospiza_lincolnii,2.653885e+00,6.667224e+00,3.373637e+02,2.800000e-01,1.690000e+00,1.830000e+01,9.686875e-02,3.147500e+02,False,False,8.507980e+02,9.729900e-01,3.586800e-02,5.234716e+02,1.367000e-11,1.217000e+02,1.683000e+03
Gallotia_stehlini,3.878362e+01,7.659765e+02,3.012656e+03,3.000000e-01,2.120000e+00,8.800000e+01,3.876795e-02,2.971500e+02,False,False,1.155987e+02,5.945000e-01,6.154800e-02,1.674670e+01,1.147000e-09,8.602000e+03,1.453000e+05
Dasymys_incomtus,1.995934e+01,4.845627e+01,1.333510e+02,3.000000e-01,8.800000e+00,1.400000e+02,1.957240e-01,3.091500e+02,False,True,5.540653e+03,9.061100e-01,3.167500e-02,2.844765e+03,1.863000e-08,1.883000e+03,3.138000e+05
