species,ab/m,ap/m,am,d_V,Wwb/i,Wwbjx/i,Wwp/i,Wwi,Ri,T_typical,acceleration,weaning,foetus,p_Am,kap,v,p_M,E_G,h_a,E_Hb/bjx,E_Hbjx/p,E_Hp
Boops_boops,1.369863e-03,1.863014e-01,3.522059e+03,2.000000e-01,2.425926e-06,2.425926e-06,2.060185e-01,2.160000e+02,3.564961e+02,2.911500e+02,,False,,2.975525e+02,7.885400e-01,6.279000e-02,4.939830e+01,5.221437e+03,2.236000e-08,9.990070e-01,5.165869e-06,5.848000e+04
Smutsia_temminckii,1.342466e-02,9.342466e-02,2.767984e+03,3.000000e-01,2.111801e-02,2.111801e-02,4.968944e-01,1.610000e+04,9.031845e-03,3.065500e+02,,True,,5.046805e+02,9.722500e-01,3.560100e-02,2.772680e+01,7.834543e+03,5.888000e-12,3.813673e-01,8.499487e-02,8.777000e+05
Alle_alle,1.110855e-02,1.575932e-02,7.805677e+02,2.800000e-01,1.314985e-01,1.314985e-01,8.562691e-01,1.635000e+02,2.075413e-02,3.138500e+02,,False,,9.911631e+03,9.953700e-01,2.649200e-02,6.827502e+03,7.323246e+03,5.151000e-14,1.000000e+00,4.018526e-02,7.881000e+03
Milnesium_tardigradum,7.777778e-03,3.444444e-02,9.000000e+02,7.000000e-02,8.003766e-03,8.003766e-03,8.229755e-02,5.310000e-05,1.375000e-01,2.931500e+02,,False,,1.426653e+00,9.305000e-01,5.628000e-03,4.013000e+01,1.806000e+03,3.425000e-08,7.424568e-01,2.224375e-01,3.561000e-04
Pecten_maximus,1.728882e-04,5.017289e-02,1.384624e+04,9.000000e-02,5.200000e-09,1.500000e-07,5.000000e-02,2.222222e+02,3.033302e+04,2.861500e+02,,False,,5.820433e+01,8.865400e-01,3.021500e-02,4.905920e+01,2.372028e+03,9.121000e-09,1.186829e-02,6.620284e-06,3.234000e+03
Sorex_araneus,1.019781e-01,2.714987e-01,2.349965e+02,3.000000e-01,5.238095e-02,9.047619e-01,9.761905e-01,8.400000e+00,2.451100e-01,3.114500e+02,,True,,3.624225e+03,9.564000e-01,2.317300e-01,2.241470e+03,7.853119e+03,8.992000e-12,3.752988e-03,1.720651e-01,1.167000e+05
Gopherus_polyphemus,2.020656e-03,8.686914e-02,4.170971e+04,3.000000e-01,7.072727e-03,7.072727e-03,5.054545e-01,5.500000e+03,2.808699e-02,2.971500e+02,,False,,1.783910e+02,7.435200e-01,2.074300e-02,9.947300e+00,7.863083e+03,4.164000e-12,1.000000e+00,5.343300e-03,9.030000e+06
Esox_niger,1.826484e-03,1.129376e-01,6.281678e+03,2.000000e-01,1.344262e-06,1.344262e-06,5.131148e-03,6.100000e+03,4.298215e+01,2.841500e+02,,False,,3.350750e+02,9.212200e-01,2.538400e-01,1.844460e+01,5.229805e+03,5.552000e-08,1.000000e+00,2.399831e-04,1.183000e+04
Eisenia_fetida,1.369863e-02,4.657534e-02,1.825000e+03,1.600000e-01,6.250000e-03,6.250000e-03,2.500000e-01,2.400000e+00,8.871429e-01,2.931500e+02,,False,,2.825885e+03,5.756000e-01,1.477000e-02,4.740832e+03,4.181769e+03,1.629000e-08,1.000000e+00,4.956398e-03,1.055000e+03
Ictalurus_furcatus_JR,4.049789e-04,2.804050e-01,1.175997e+04,2.000000e-01,2.405378e-06,2.405378e-06,1.547133e-02,2.572500e+04,2.545074e+02,2.931500e+02,,False,,2.631498e+02,6.716100e-01,3.487100e-02,1.476290e+01,6.967620e+03,4.151000e-09,1.331862e-01,1.698705e-04,1.467000e+06
